featid,tile,cells_5,tr_ka_5m_50m_21_kaspSlp_across
10541,3/4,78,0.017126
10542,3/4,323,0.083523
10547,3/4,82,0.132293
10551,3/4,101,0.130933
10552,3/4,761,0.117965
10553,3/4,660,0.071744
10554,3/4,115,0.090341
10555,3/4,208,0.074671
10556,3/4,54,0.055224
10557,3/4,25,0.130266
10558,3/4,57,0.131463
10559,3/4,9,0.02645
10560,3/4,2,0.083002
10561,3/4,4,0.082438
10562,3/4,82,0.09992
10563,3/4,6,0.060527
10564,3/4,43,0.072344
10565,3/4,215,0.056396
10566,3/4,76,0.059725
10567,3/4,548,0.085794
10568,3/4,9,0.122287
10569,3/4,16,0.127849
10570,3/4,36,0.062619
10571,3/4,6,0.067189
10574,3/4,591,0.143305
10575,3/4,38,0.14528
10576,3/4,724,0.121749
10578,3/4,54,0.131043
10579,3/4,70,0.102866
10580,3/4,104,0.094189
10582,3/4,292,0.267124
10583,3/4,26,0.21804
10584,3/4,5,0.135709
10585,3/4,339,0.092493
10586,3/4,81,0.114834
10587,3/4,25,0.122005
10588,3/4,13,0.172408
10589,3/4,5,0.137375
10590,3/4,250,0.085429
10591,3/4,379,0.043517
10592,3/4,18,0.071342
10593,3/4,44,0.027113
10595,3/4,54,0.038424
10596,3/4,47,0.04158
10597,3/4,129,0.05418
10601,3/4,454,0.12962
10603,3/4,214,0.094855
10604,3/4,32,0.096626
10605,3/4,58,0.072271
10606,3/4,823,0.088486
10607,3/4,185,0.063946
10608,3/4,914,0.069233
10609,3/4,271,0.148791
10610,3/4,404,0.092761
10611,3/4,13,0.096105
10612,3/4,46,0.079317
10613,3/4,3,0.084095
10614,3/4,29,0.081286
10615,3/4,127,0.108322
10616,3/4,131,0.075257
10617,3/4,163,0.137758
10618,3/4,167,0.102368
10619,3/4,8,0.143279
10620,3/4,4,0.067646
10621,3/4,162,0.06924
10622,3/4,93,0.125871
10623,3/4,103,0.104853
10624,3/4,5,0.071391
10625,3/4,169,0.097671
10626,3/4,287,0.09488
10627,3/4,173,0.136493
10628,3/4,536,0.133638
10629,3/4,31,0.104751
10630,3/4,50,0.092792
10631,3/4,4,0.115076
10632,3/4,77,0.123491
10633,3/4,108,0.18095
10634,3/4,241,0.097847
10635,3/4,6,0.130672
10636,3/4,1,0.081781
10637,3/4,264,0.171295
10638,3/4,238,0.306902
10639,3/4,30,0.124104
10640,3/4,65,0.133698
10641,3/4,23,0.192402
10642,3/4,18,0.155372
10643,3/4,178,0.390614
10644,3/4,29,0.281938
10645,3/4,226,0.449172
10646,3/4,214,0.473071
10648,3/4,54,0.03925
10649,3/4,41,0.059853
10650,3/4,453,0.030284
10651,3/4,17,0.043057
10652,3/4,506,0.068358
10659,3/4,351,0.071635
10661,3/4,2492,0.278239
10662,3/4,6,0.097828
10663,3/4,182,0.094591
10664,3/4,44,0.09361
10665,3/4,55,0.078581
10666,3/4,208,0.114325
10667,3/4,65,0.069274
10668,3/4,360,0.082809
10669,3/4,67,0.058526
10670,3/4,420,0.066522
10671,3/4,128,0.059874
10672,3/4,89,0.055925
10673,3/4,73,0.063265
10674,3/4,353,0.07054
10675,3/4,110,0.067623
10676,3/4,184,0.060614
10677,3/4,32,0.100197
10678,3/4,15,0.074503
10680,3/4,182,0.079423
10681,3/4,242,0.094985
10682,3/4,10,0.141693
10683,3/4,139,0.078115
10684,3/4,22,0.100653
10685,3/4,164,0.107546
10686,3/4,80,0.08476
10687,3/4,10,0.083598
10688,3/4,80,0.209055
10689,3/4,13,0.108514
10690,3/4,11,0.112147
10691,3/4,24,0.204811
10692,3/4,260,0.327795
10693,3/4,195,0.158692
10694,3/4,18,0.166962
10695,3/4,21,0.387746
10696,3/4,176,0.318797
10697,3/4,99,0.095798
10698,3/4,94,0.040448
10699,3/4,118,0.042831
10700,3/4,4,0.048904
10701,3/4,20,0.017768
10702,3/4,53,0.037339
10703,3/4,80,0.084389
10710,3/4,4,0.1319
10711,3/4,68,0.119393
10713,3/4,196,0.254266
10714,3/4,3,0.085359
10716,3/4,746,0.102525
10717,3/4,479,0.124708
10718,3/4,80,0.123256
10719,3/4,40,0.086551
10720,3/4,18,0.06236
10721,3/4,1,0.061127
10722,3/4,224,0.058576
10723,3/4,219,0.051297
10724,3/4,20,0.049357
10725,3/4,182,0.067606
10726,3/4,27,0.065127
10727,3/4,40,0.129813
10728,3/4,52,0.051001
10729,3/4,48,0.089818
10730,3/4,8,0.074156
10732,3/4,46,0.057941
10733,3/4,32,0.110968
10734,3/4,100,0.132102
10735,3/4,34,0.100779
10736,3/4,26,0.079965
10737,3/4,297,0.089057
10738,3/4,128,0.078883
10739,3/4,83,0.074419
10740,3/4,128,0.113244
10741,3/4,379,0.124858
10742,3/4,312,0.105689
10743,3/4,127,0.122638
10744,3/4,409,0.099436
10745,3/4,478,0.141475
10746,3/4,57,0.160667
10747,3/4,2,0.07226
10748,3/4,28,0.093221
10749,3/4,10,0.120924
10750,3/4,1,0.085257
10751,3/4,23,0.104458
10752,3/4,128,0.099044
10753,3/4,16,0.111243
10754,3/4,650,0.120884
10755,3/4,37,0.163348
10756,3/4,31,0.114825
10757,3/4,157,0.145783
10758,3/4,3,0.099087
10759,3/4,6,0.096015
10760,3/4,6,0.18199
10761,3/4,85,0.199733
10762,3/4,56,0.269414
10763,3/4,11,0.464422
10764,3/4,441,0.364851
10765,3/4,82,0.361564
10766,3/4,72,0.530281
10767,3/4,94,0.159001
10768,3/4,160,0.030873
10769,3/4,90,0.058647
10770,3/4,9,0.072832
10771,3/4,166,0.058472
10772,3/4,76,0.04636
10773,3/4,310,0.038458
10781,3/4,49,0.124827
10782,3/4,195,0.125251
10783,3/4,34,0.07132
10784,3/4,32,0.11157
10785,3/4,223,0.11721
10786,3/4,176,0.133727
10787,3/4,3,0.100864
10788,3/4,4,0.066277
10789,3/4,2,0.048833
10790,3/4,35,0.051623
10791,3/4,1,0.060636
10792,3/4,189,0.073778
10794,3/4,81,0.066309
10795,3/4,2,0.068317
10796,3/4,302,0.06341
10797,3/4,7,0.049672
10798,3/4,25,0.056424
10799,3/4,27,0.073575
10800,3/4,38,0.087119
10801,3/4,24,0.083138
10802,3/4,207,0.079923
10803,3/4,99,0.087161
10804,3/4,363,0.08136
10805,3/4,38,0.078073
10806,3/4,376,0.059943
10807,3/4,19,0.070908
10808,3/4,119,0.067219
10809,3/4,30,0.087456
10810,3/4,63,0.062106
10811,3/4,24,0.097747
10812,3/4,44,0.102152
10813,3/4,13,0.11854
10815,3/4,133,0.078604
10816,3/4,318,0.117223
10817,3/4,1088,0.11117
10818,3/4,68,0.129055
10819,3/4,98,0.100578
10820,3/4,31,0.199942
10821,3/4,45,0.196355
10822,3/4,35,0.172609
10823,3/4,3,0.1257
10824,3/4,20,0.090394
10825,3/4,834,0.16976
10826,3/4,861,0.407675
10827,3/4,65,0.34973
10828,3/4,71,0.067121
10829,3/4,36,0.037376
10830,3/4,107,0.028775
10831,3/4,343,0.031146
10832,3/4,34,0.023116
10833,3/4,4,0.037572
10835,3/4,41,0.043267
10836,3/4,43,0.03121
10837,3/4,5,0.09466
10838,3/4,3,0.108115
10839,3/4,140,0.072117
10849,3/4,489,0.118437
10850,3/4,45,0.122236
10851,3/4,166,0.134963
10852,3/4,19,0.100071
10853,3/4,36,0.108539
10854,3/4,350,0.084263
10855,3/4,1130,0.083619
10856,3/4,153,0.069566
10857,3/4,11,0.07479
10858,3/4,2,0.070608
10859,3/4,46,0.053759
10860,3/4,1,0.062583
10861,3/4,84,0.061193
10862,3/4,90,0.056577
10863,3/4,12,0.054133
10864,3/4,88,0.054625
10865,3/4,2,0.087961
10866,3/4,58,0.072484
10867,3/4,378,0.067626
10868,3/4,10,0.089142
10869,3/4,72,0.0713
10870,3/4,20,0.062483
10871,3/4,411,0.066643
10872,3/4,175,0.057325
10874,3/4,48,0.061588
