featid,tile,cells_5,tr_tp_5m_100m_41_mean_diff,tr_tp_5m_100m_41_sd
10074,3/4,6,0.363165,1.134803
10075,3/4,33,0.503438,1.23905
10076,3/4,6,0.372009,1.17628
10077,3/4,132,-0.593734,1.2881
10078,3/4,242,0.038124,1.237998
10079,3/4,26,0.076012,1.271916
10080,3/4,13,-2.11397,1.680081
10081,3/4,22,-1.901354,1.75874
10082,3/4,409,-0.138694,1.700753
10083,3/4,3,-1.604849,1.823688
10084,3/4,1,-1.56651,1.77083
10085,3/4,784,1.142298,1.522365
10086,3/4,13,-0.186567,0.839691
10087,3/4,26,-0.215396,1.918431
10088,3/4,122,-0.293651,2.148057
10089,3/4,26,2.808452,3.133458
10090,3/4,124,0.946951,2.92875
10091,3/4,10,-0.24992,3.595879
10092,3/4,50,-0.140432,2.343084
10093,3/4,142,-1.000892,2.386933
10094,3/4,27,-0.244192,2.298677
10095,3/4,30,-0.857131,1.105134
10096,3/4,44,-0.493842,0.943303
10097,3/4,58,-0.073532,0.993515
10098,3/4,101,0.665402,1.392245
10099,3/4,154,0.105298,1.042449
10100,3/4,2,-0.399957,1.398109
10101,3/4,31,-0.438488,1.410846
10102,3/4,294,-0.449887,1.10881
10103,3/4,73,-0.490861,1.349827
10104,3/4,408,0.285265,1.221747
10105,3/4,8,-0.13889,2.35324
10106,3/4,8,-1.730957,1.684393
10107,3/4,7,-0.337208,0.967849
10108,3/4,2,-1.016054,0.860902
10109,3/4,106,-0.101317,1.062891
10110,3/4,26,-0.341783,1.576239
10111,3/4,84,-0.508664,2.38579
10112,3/4,47,0.317637,2.223097
10113,3/4,102,0.00546,2.365861
10114,3/4,212,-0.409702,1.293513
10115,3/4,190,0.058975,1.273937
10116,3/4,362,0.041821,1.154329
10117,3/4,3,-0.434005,1.407054
10118,3/4,417,-0.027608,1.298324
10119,3/4,4,0.238433,2.152917
10120,3/4,2,-1.438344,3.239625
10121,3/4,4,-1.283893,3.189381
10122,3/4,32,-2.957975,2.058722
10123,3/4,5,-2.346258,1.787399
10124,3/4,18,-1.155309,1.643063
10125,3/4,154,0.26996,1.575246
10126,3/4,1,-0.634592,1.657695
10127,3/4,112,0.238078,0.868135
10128,3/4,77,-0.310891,1.439958
10129,3/4,114,-0.170369,1.190289
10130,3/4,15,-0.311301,2.522856
10131,3/4,105,-0.212903,1.949337
10132,3/4,65,-0.612963,1.784749
10133,3/4,20,0.583471,1.08083
10134,3/4,341,0.496883,1.303357
10135,3/4,29,-0.638469,1.301089
10136,3/4,83,-0.107684,1.18264
10137,3/4,15,0.086319,1.74042
10138,3/4,1213,-0.255417,4.023185
10139,3/4,274,-0.354263,2.474211
10140,3/4,30,0.711095,1.801012
10141,3/4,217,0.402267,1.277071
10142,3/4,5,-0.82133,1.483292
10143,3/4,20,0.369016,1.155943
10144,3/4,111,-0.153659,0.839919
10145,3/4,18,-0.362684,1.632909
10146,3/4,18,-0.225472,1.599155
10147,3/4,3,-0.333063,1.796585
10148,3/4,209,0.619631,1.033297
10149,3/4,191,0.084381,1.296737
10150,3/4,48,0.602911,1.946545
10151,3/4,4,0.653169,1.51894
10152,3/4,24,1.026283,2.070455
10153,3/4,216,-0.333871,0.876599
10154,3/4,341,-1.145989,3.694019
10155,3/4,93,0.282396,1.097927
10156,3/4,70,0.330094,1.309145
10158,3/4,22,0.127877,1.154687
10159,3/4,1,-0.006261,1.045757
10160,3/4,42,-0.442771,0.838574
10161,3/4,240,-0.637454,3.818351
10162,3/4,45,0.214104,2.397138
10163,3/4,77,-0.298593,1.505651
10164,3/4,37,-0.015791,1.137925
10165,3/4,78,-0.024875,1.078628
10166,3/4,70,-0.019471,0.806508
10167,3/4,260,0.586947,1.127229
10168,3/4,158,1.188219,1.853651
10169,3/4,90,0.172874,1.703209
10170,3/4,372,0.001703,1.354838
10171,3/4,10,0.578787,1.471097
10172,3/4,31,-0.020176,1.388409
10173,3/4,49,0.179397,1.335056
10174,3/4,299,-0.37974,2.633125
10175,3/4,267,0.194542,2.39793
10176,3/4,1,0.894635,1.892595
10177,3/4,24,0.31207,2.065857
10178,3/4,5,-0.610146,1.540808
10179,3/4,35,-0.382309,1.018097
10180,3/4,104,-1.078841,2.557706
10181,3/4,30,0.737051,1.27224
10182,3/4,121,0.939156,1.635743
10183,3/4,2,-0.121968,1.027537
10184,3/4,26,-0.400127,0.752404
10185,3/4,328,-0.238095,0.751198
10186,3/4,169,0.12623,1.294813
10187,3/4,433,0.25049,1.033736
10188,3/4,4,0.330756,0.790757
10189,3/4,1,0.85386,1.700473
10190,3/4,120,0.52334,1.503746
10191,3/4,176,-1.803358,1.816753
10192,3/4,3,0.411804,1.960304
10193,3/4,9,-0.575546,1.719878
10195,3/4,977,-3.138321,11.941317
10196,3/4,180,-2.084018,4.607282
10197,3/4,98,-0.030318,0.827231
10198,3/4,218,-0.230916,0.907248
10199,3/4,220,-0.396699,0.871166
10200,3/4,144,0.4526,1.232239
10201,3/4,108,0.508995,1.406064
10202,3/4,27,-0.126044,1.045066
10203,3/4,57,-0.592736,0.677089
10204,3/4,93,-0.621416,0.667301
10205,3/4,108,-0.40213,1.076017
10206,3/4,23,1.238234,1.905578
10207,3/4,813,-0.690503,4.693125
10208,3/4,320,0.364443,2.995418
10209,3/4,6,0.090382,2.019132
10210,3/4,2,-0.416029,1.593759
10211,3/4,88,-0.926959,2.218877
10212,3/4,123,-1.775634,5.440656
10213,3/4,53,-0.332872,1.056599
10214,3/4,89,-0.115285,0.900881
10215,3/4,151,-0.125869,0.824689
10216,3/4,120,-0.034375,1.030905
10217,3/4,78,-0.03306,0.996859
10218,3/4,90,-0.439826,0.824569
10219,3/4,70,-0.29111,0.756
10220,3/4,25,-0.097768,0.764498
10221,3/4,128,-3.126961,4.725776
10222,3/4,62,-0.153199,0.644321
10223,3/4,23,-0.186404,0.883339
10224,3/4,22,0.15998,0.711151
10225,3/4,23,0.117113,0.646382
10226,3/4,68,1.085287,1.933106
10227,3/4,220,1.202093,3.090985
10228,3/4,2248,-3.332001,3.648385
10229,3/4,738,-0.182927,2.305752
10230,3/4,100,0.304761,2.45307
10231,3/4,5,-0.418541,1.749034
10232,3/4,24,-0.850085,2.673211
10233,3/4,93,-0.228054,1.135726
10234,3/4,21,-0.208936,0.954084
10235,3/4,68,-0.056057,0.944654
10236,3/4,49,-0.072715,0.980051
10237,3/4,93,-0.103889,0.717278
10238,3/4,21,-0.214364,0.85593
10239,3/4,25,-0.574502,0.678463
10240,3/4,104,-0.128607,0.619819
10241,3/4,81,-2.497907,4.227079
10242,3/4,26,-0.201375,0.947333
10243,3/4,577,-7.762794,12.593729
10244,3/4,1487,-5.235987,17.853759
10245,3/4,350,-0.568654,2.983748
10246,3/4,217,0.430701,3.035947
10247,3/4,362,0.434367,2.650511
10248,3/4,72,1.203936,4.272485
10249,3/4,60,-0.222386,2.886291
10250,3/4,394,-1.061901,2.389286
10251,3/4,158,-1.521313,6.753114
10252,3/4,68,0.275866,2.990484
10253,3/4,4,-0.35161,2.397567
10254,3/4,111,-0.275247,1.479732
10255,3/4,14,-0.091275,1.009777
10256,3/4,15,-0.804741,3.385192
10257,3/4,151,-0.770375,2.908776
10258,3/4,19,-0.357341,0.78979
10259,3/4,115,-0.584323,1.727562
10260,3/4,117,-2.707298,5.080953
10261,3/4,4,-10.682852,14.371303
10262,3/4,24,0.943969,1.897086
10263,3/4,3,0.434508,1.223959
10264,3/4,32,0.442868,1.392672
10265,3/4,77,-0.45184,2.326664
10266,3/4,1,-0.951874,2.284437
10267,3/4,27,-0.200868,2.249378
10268,3/4,95,-0.136649,2.67175
10269,3/4,240,-0.065892,3.040125
10270,3/4,27,0.154321,3.057547
10271,3/4,24,0.355713,2.819749
10272,3/4,262,2.860689,6.542627
10273,3/4,389,-3.21187,6.235708
10274,3/4,547,-1.509199,5.978258
10275,3/4,938,-1.00109,12.528936
10276,3/4,199,-1.695433,14.711576
10277,3/4,138,-0.636581,2.789802
10278,3/4,150,-0.419438,2.162793
10279,3/4,7,-0.038811,1.035299
10280,3/4,165,-0.376788,2.413741
10281,3/4,66,-0.763758,1.9827
10282,3/4,139,-0.903111,3.03855
10283,3/4,22,-0.349343,0.761021
10284,3/4,46,7.402081,13.780629
10285,3/4,141,0.648417,2.536991
10286,3/4,7,0.240154,2.623875
10287,3/4,32,0.284636,2.296457
10288,3/4,15,0.226516,2.260445
10289,3/4,39,-0.194753,3.064666
10290,3/4,17,-0.437617,2.963065
10291,3/4,18,-0.386593,3.118941
10292,3/4,588,-1.100817,3.591974
10293,3/4,245,1.758432,4.510241
10294,3/4,48,2.65597,6.463088
10295,3/4,173,-2.889321,4.758942
10296,3/4,6,-5.937018,6.214049
10297,3/4,951,-0.626124,2.426677
10298,3/4,251,2.245982,2.438098
10299,3/4,73,1.858031,2.458569
10300,3/4,110,0.284593,4.653055
10301,3/4,440,2.550132,19.984435
10302,3/4,190,-2.989385,17.739574
10304,3/4,189,-3.627188,8.173247
10305,3/4,3,-0.715054,1.221776
10306,3/4,7,-0.28291,0.738884
10307,3/4,1,-0.46037,1.09929
10308,3/4,122,-3.336576,6.889586
10309,3/4,1568,6.226194,14.883135
10310,3/4,16,-0.641763,2.44802
10311,3/4,284,-3.336815,7.101428
10312,3/4,48,-1.402537,3.283317
10313,3/4,16,-0.473592,3.172062
10314,3/4,102,1.386006,4.456047
10315,3/4,5,-2.07199,6.120585
10316,3/4,37,0.383785,5.623773
10317,3/4,185,0.81069,2.739805
10318,3/4,1014,-0.527998,2.164441
10319,3/4,3,1.784426,2.535125
10320,3/4,1331,5.231845,12.583088
10321,3/4,1073,2.069688,8.049385
10322,3/4,104,-2.063741,5.214123
10323,3/4,16,-0.569765,0.95077
10324,3/4,6,-0.527391,1.073997
10325,3/4,41,0.432593,5.513825
10326,3/4,7,0.674405,3.361347
10327,3/4,65,2.372904,6.832497
10328,3/4,76,-0.793911,4.416472
10329,3/4,747,-0.005393,4.074108
10330,3/4,140,-0.245032,3.084931
10331,3/4,88,-3.343224,11.912361
10332,3/4,268,6.733145,21.619045
10333,3/4,32,12.060405,15.563021
10334,3/4,105,6.761351,16.234145
10335,3/4,963,1.101754,5.950445
10336,3/4,110,1.548903,4.82008
10337,3/4,78,-0.442453,3.385565
10338,3/4,40,0.198257,2.711017
10339,3/4,33,-0.803806,3.070942
10340,3/4,17,-0.532498,3.4666
10341,3/4,187,0.139627,4.638825
10342,3/4,106,0.788723,4.632955
10343,3/4,51,0.797197,3.348957
10344,3/4,55,-0.698999,2.680307
10345,3/4,199,-0.549503,1.410459
10346,3/4,13,-3.833016,8.441162
10347,3/4,5,-3.690293,8.028559
10348,3/4,17,-8.512836,10.051264
10349,3/4,400,-3.288576,11.168548
10350,3/4,9,12.274937,14.614881
10351,3/4,222,3.265038,5.704095
10352,3/4,3,-0.481071,4.518919
10353,3/4,103,0.831895,3.65072
10354,3/4,36,6.635747,12.025058
10355,3/4,1,2.676964,7.963836
10356,3/4,45,1.586406,7.106782
10357,3/4,35,3.243534,5.913643
10358,3/4,43,3.585213,6.22139
10359,3/4,30,0.122074,5.672142
10361,3/4,30,-1.56048,3.342372
10362,3/4,60,2.474275,3.128439
10363,3/4,12,-1.109562,4.630004
10364,3/4,1513,-0.948229,5.771406
10365,3/4,70,-3.104066,6.563389
10366,3/4,9,-1.948558,3.486333
10368,3/4,1,1.233343,4.649274
10369,3/4,32,4.042772,6.16233
10370,3/4,34,3.109851,5.608002
10371,3/4,36,-0.544368,4.496335
10372,3/4,79,0.817198,2.57
10373,3/4,8,1.063083,3.114245
10374,3/4,806,0.246773,2.001568
10375,3/4,5,-0.206312,2.491428
10376,3/4,16,-0.205069,1.497887
10377,3/4,275,-0.336086,2.623944
10378,3/4,13,-3.617997,6.501376
10379,3/4,3311,-3.660639,13.390812
10380,3/4,3139,0.832236,16.33056
10381,3/4,4,14.922466,17.505381
10382,3/4,40,1.928555,5.403716
10383,3/4,61,3.360902,5.98823
10385,3/4,161,-4.151668,6.087391
10386,3/4,55,2.284956,7.006743
10387,3/4,36,3.795236,9.804411
10388,3/4,16,1.921991,3.515745
10389,3/4,265,1.367829,4.397397
10390,3/4,18,3.129176,3.783792
10391,3/4,672,0.990931,8.376342
10392,3/4,128,4.399016,9.627825
10393,3/4,573,-1.359819,6.13074
10394,3/4,73,-1.356773,4.772672
10395,3/4,13,0.089449,4.072584
10396,3/4,233,-0.300508,5.506619
10397,3/4,216,-0.56912,2.794592
10398,3/4,33,0.584629,2.501904
10399,3/4,98,-0.171448,2.554244
10401,3/4,58,-0.337867,1.942064
10402,3/4,7408,-0.974553,11.79529
10403,3/4,483,6.542935,10.821461
10404,3/4,1,0.672435,4.277223
10405,3/4,46,0.719131,4.002688
10406,3/4,51,2.646251,8.183498
10407,3/4,36,0.437865,4.730783
10408,3/4,102,3.237214,6.525519
10409,3/4,136,-4.534025,5.914921
10410,3/4,169,0.897169,4.128961
10411,3/4,21,8.307256,17.522639
10413,3/4,101,3.485852,4.902294
10414,3/4,42,3.493404,5.103607
10415,3/4,844,1.573805,7.668173
10416,3/4,31,-0.970348,5.982512
10417,3/4,36,-0.984868,5.684286
10418,3/4,407,-1.226605,6.961468
10419,3/4,233,-2.099777,4.375415
10420,3/4,124,-1.759931,7.034024
10421,3/4,41,-0.708738,4.145103
10422,3/4,46,-0.561318,3.415945
10423,3/4,117,0.178649,2.654017
10424,3/4,65,0.092388,2.558319
10425,3/4,361,0.093893,1.925918
10428,3/4,2564,0.550845,11.445451
10429,3/4,1479,0.242932,5.880712
10430,3/4,813,4.170474,12.968468
10431,3/4,31,6.257616,8.185073
10432,3/4,23,3.205001,5.394711
10433,3/4,211,2.700772,6.178662
10434,3/4,567,-2.058936,5.833576
10435,3/4,36,7.877452,18.172961
10436,3/4,184,0.462225,4.304405
10437,3/4,6,-1.197065,3.756279
10438,3/4,172,-6.228945,6.445264
10439,3/4,52,0.801898,6.324823
10440,3/4,86,4.392176,6.816024
10441,3/4,42,2.929109,5.136887
10443,3/4,349,-0.064471,7.750307
10444,3/4,195,0.303444,7.329419
10445,3/4,2,2.598921,10.082282
10446,3/4,49,-1.923032,7.334561
10447,3/4,32,-1.527373,7.242656
10448,3/4,78,-1.363289,3.646614
10449,3/4,117,-0.421637,2.362338
10450,3/4,70,-0.902926,1.854172
10453,3/4,432,0.21576,13.110349
10454,3/4,185,1.668946,6.103974
10455,3/4,525,0.471879,5.842679
10456,3/4,285,-5.471359,6.216573
10457,3/4,29,-1.134005,6.060546
10458,3/4,9,1.735161,5.526216
10459,3/4,503,3.364893,5.096896
10460,3/4,49,0.246986,4.388734
10461,3/4,6,-0.656159,6.835774
10462,3/4,389,2.796271,6.574958
10463,3/4,135,-1.218542,6.141711
10464,3/4,493,-4.0045,6.082274
10465,3/4,244,1.466123,5.759356
10466,3/4,310,2.257369,5.336141
10467,3/4,157,-0.643398,6.056034
10468,3/4,99,0.719305,6.625135
10469,3/4,59,1.065017,4.192175
10470,3/4,291,3.068713,6.106676
10471,3/4,21,-1.213137,6.835365
10472,3/4,64,-0.976545,6.848017
10473,3/4,1,-1.304009,7.408196
10474,3/4,473,1.346115,6.818655
10475,3/4,413,2.734375,9.489504
10476,3/4,385,0.311907,6.815745
10477,3/4,251,0.848104,6.317181
10478,3/4,7,3.686293,9.726165
10479,3/4,312,-1.575102,14.105535
10480,3/4,25,-4.918981,10.590547
10481,3/4,6,0.77666,6.556928
10482,3/4,52,-1.416742,6.33522
10483,3/4,406,-3.270877,11.573948
10484,3/4,184,-3.435464,10.625104
10485,3/4,15,-0.314544,5.487916
10486,3/4,100,-0.932358,5.960109
10487,3/4,111,-2.4928,4.306424
10488,3/4,23,-1.793208,2.018375
10489,3/4,1,0.166621,1.862402
10493,3/4,388,7.178538,14.215458
10494,3/4,12,-3.63155,5.537999
10495,3/4,600,-0.484467,6.231802
10496,3/4,1023,-1.052349,5.065474
10497,3/4,24,1.602387,5.113732
10498,3/4,352,-0.000479,4.054672
10499,3/4,142,-3.574631,6.80391
10500,3/4,436,-3.855258,5.961349
10501,3/4,42,5.976313,7.763159
10502,3/4,40,1.846632,4.442498
10503,3/4,43,2.09605,6.301675
10504,3/4,17,1.299352,5.392689
10505,3/4,43,3.431757,7.103995
10506,3/4,34,-7.654685,6.463358
10507,3/4,35,-5.990059,5.956669
10508,3/4,55,-8.084728,6.213267
10509,3/4,546,-3.181734,6.580474
10510,3/4,72,-9.681157,6.056693
10511,3/4,35,4.361552,5.945699
10512,3/4,27,0.785176,4.294379
10513,3/4,46,2.144741,4.856604
10515,3/4,29,0.26956,4.919108
10516,3/4,50,3.605848,5.380518
10517,3/4,46,-3.268459,6.173551
10518,3/4,1,-9.061324,6.362416
10519,3/4,20,0.096903,6.706729
10520,3/4,105,-1.896534,6.891604
10521,3/4,217,-1.218557,7.379415
10522,3/4,287,-0.016183,6.579274
10523,3/4,279,-2.685204,6.74551
10524,3/4,98,1.082252,7.616277
10525,3/4,42,2.495819,8.995568
10526,3/4,227,4.032484,13.277683
10527,3/4,58,-7.168511,11.370397
10528,3/4,8,0.20973,7.381884
10529,3/4,37,-1.326476,11.127344
10530,3/4,98,3.212143,8.221501
10531,3/4,42,0.998611,8.294213
10532,3/4,1,-2.715632,8.307398
10533,3/4,298,-7.205989,17.260544
10534,3/4,74,0.124787,8.630396
10535,3/4,166,-2.484782,8.376299
10536,3/4,32,-3.321095,5.801691
10537,3/4,12,-1.460546,3.476378
10538,3/4,91,-1.394047,2.726145
10539,3/4,584,0.373208,1.822089
